Body_summary,Cleaned_body_sample,Class
To all the unsung heroes — thank you. Your dedication is the backbone of our nation. Happy Republic Day.,unsung heroes — thank dedication backbone nation happy republic day,Food
"The message was sent on January 26, 2024 at 2:45pm. The message was intended for 'The People Of India' It was sent by Swiggy.",message sent january 26 2024 245pm message intended people india sent swiggy,Food
Your Elite Insider status will expire soon. Shop for ₹*4849** before 29 Feb 2024 to continue as an Elite Insider.,elite insider status expire soon shop ₹4849 29 feb 2024 continue elite insider,Ecom
"LSEG Hyderabad is a new global centre, right in the heart of Hyderabad. We have a broad range of engineeringopportunities at all levels, for passionate and skilled engineers.",lseg hyderabad new global centre right heart hyderabad broad range engineeringopportunities levels passionate skilled engineers,Job
"Tap to start. Forwarded message: ""Solve this puzzle for gift(s)"".",tap start forwarded message solve puzzle gifts,Food
Your package will be delivered between 7:00AM and 10:00PM by our AmazonDelivery Agent (Phone: +914067824444 PIN 7808).Track your package.,package delivered 700am 1000pm amazondelivery agent phone 914067824444 pin 7808track package,Ecom
Your package has been delivered. Please rate your delivery experience. Back to Mail Online home. Back To the page you came from.,package delivered please rate delivery experience back mail online home back page came,Ecom
"We’re going to keep it real with you. Use Zomato to book tables, pay bills and get discounts.",’ going keep real use zomato book tables pay bills get discounts,Food
"Tap to read on. Back to the page you came from. Forwarded message: ""2 things to do this weekend!""",tap read back page came forwarded message 2 things weekend,Food
"This is the only day that can make you as happy as a hot gulab jamun, a slice of pizza with extra cheese and a cup of chai.",day make happy hot gulab jamun slice pizza extra cheese cup chai,Food
"Your Amazon.in order #407-1199267-3323558 of 1 item was sent on Feb 3, 2024 at 5:13 PM. The message was sent from the company's 'auto-confirm' function.",amazonin order 40711992673323558 1 item sent feb 3 2024 513 pm message sent companys autoconfirm function,Ecom
"Your Amazon.in order #407-1199267-3323558 of 1 item has been dispatched. The message was sent on Feb 3, 2024.",amazonin order 40711992673323558 1 item dispatched message sent feb 3 2024,Ecom
Your package with 1 item will be delivered today by 12 p.m. The email was sent from an email address that can't receive emails.,package 1 item delivered today 12 pm email sent email address cant receive emails,Ecom
Your package has been delivered. Please rate your delivery experience. Back to Mail Online home. Back To the page you came from.,package delivered please rate delivery experience back mail online home back page came,Ecom
"Your Amazon.in order #403-6052107-2121129 of 1 item will be sent on February 6, 2024. The message will be delivered to your email address.",amazonin order 40360521072121129 1 item sent february 6 2024 message delivered email address,Ecom
"Your Amazon.in order #403-6052107-2121129 of 1 item has been dispatched. The message was sent on February 7, 2024.",amazonin order 40360521072121129 1 item dispatched message sent february 7 2024,Ecom
This email was sent from an email address that can't receive emails. Please don't reply to this email.,email sent email address cant receive emails please dont reply email,Ecom
Don't miss Valentine's Delight Deals. Don't miss Dominos Pizza India's special Valentine's Day deals.,dont miss valentines delight deals dont miss dominos pizza indias special valentines day deals,Food
Your package has been delivered. Please rate your delivery experience. Back to Mail Online home. Back To the page you came from.,package delivered please rate delivery experience back mail online home back page came,Ecom
"The message was sent to Sai Kumar Bavisetti on Feb 8, 2024 at 7:37 PM. The message was in response to a recent order at Amazon.in.",message sent sai kumar bavisetti feb 8 2024 737 pm message response recent order amazonin,Ecom
"The message was sent on Friday, Feb 9, 2024 at 5:02 PM. The message was forwarded by Swiggy.",message sent friday feb 9 2024 502 pm message forwarded swiggy,Food
"The email was sent on Feb 11, 2024 at 12:22 PM. The subject line was ""Valentine's Week Special Deals""",email sent feb 11 2024 1222 pm subject line valentines week special deals,Food
"You are receiving this email because you had signed up for an account on Instahyre. If the above information is not correct, click below to update it. Click here to unsubscribe from this reminder.",receiving email signed account instahyre information correct click update click unsubscribe reminder,Job
"The email was sent on February 14, 2024 at 12:51pm. The subject line was: Date Night Offers inside.",email sent february 14 2024 1251pm subject line date night offers inside,Food
"The message was sent on Feb 14, 2024 at 6:10 PM. The subject line was: Wanna see an epic love story?",message sent feb 14 2024 610 pm subject line wan na see epic love story,Food
"Email sent to saikumarbavisetti on Feb 16, 2024. Reminder to complete job application for shortlisted role at FedEx.",email sent saikumarbavisetti feb 16 2024 reminder complete job application shortlisted role fedex,Job
"Sai, bigbasket is getting a big upgrade! Click here to unsubscribe and stop receiving these emails.",sai bigbasket getting big upgrade click unsubscribe stop receiving emails,Food
If you were looking for a sign to try that restaurant you’ve been planning to go to for a month…this is it! You can thank us later.,looking sign try restaurant ’ planning go month…this thank us later,Food
"The message was sent on Saturday, Feb 17, 2024 at 4:50 PM. The subject line was: This bite can change everything.",message sent saturday feb 17 2024 450 pm subject line bite change everything,Food
"Your Amazon.in order #407-2966039-8868345 of 1 item was sent on Feb 19, 2024 at 2:15 PM. The message was sent to: <saikumarbavisetti@gmail.com.",amazonin order 40729660398868345 1 item sent feb 19 2024 215 pm message sent saikumarbavisettigmailcom,Ecom
"Your Amazon.in order #407-2966039-8868345 of 1 item has been dispatched. The message was sent on February 19, 2024 at 3:18pm.",amazonin order 40729660398868345 1 item dispatched message sent february 19 2024 318pm,Ecom
"Your profile is Shortlisted for the role of Senior Data Scientist at Delta Air Lines. Please fill the application form below and click on ""Submit"" within a few days of answering this screening questionnaire.",profile shortlisted role senior data scientist delta air lines please fill application form click submit within days answering screening questionnaire,Job
Application for Senior Data Scientist at Delta Air Lines. Please answer a few questions about yourself. This will take less than 2 minutes.,application senior data scientist delta air lines please answer questions take less 2 minutes,Job
Your package will be delivered between 7:00AM and 10:00PM by our AmazonDelivery Agent (Phone: +914067824444 PIN 4246) Track your package on Amazon.in.,package delivered 700am 1000pm amazondelivery agent phone 914067824444 pin 4246 track package amazonin,Ecom
"The email was sent on Feb 23, 2024 at 6:55 PM. It was sent from a notification-only address that cannot accept the email.",email sent feb 23 2024 655 pm sent notificationonly address accept email,Ecom
"Do Not forward this mail, it contains links which allow direct login to your Shine account. Urgent Hiring for Automobile Service Manager In Germany.",forward mail contains links allow direct login shine account urgent hiring automobile service manager germany,Job
"Sai Kumar Bavisetti, Urgently hiring for Data Scientist, Senior.Software Developer, Supply Chain Analyst.",sai kumar bavisetti urgently hiring data scientist seniorsoftware developer supply chain analyst,Job
"Do Not forward this mail, it contains links which allow direct login to your Shine account. Be sure to update the latest details below to apply for the job.",forward mail contains links allow direct login shine account sure update latest details apply job,Job
"Do Not forward this mail, it contains links which allow direct login to your Shine account. Urgent Hiring for Multiple Roles at Vertex Corporate Services India Pvt. Ltd.",forward mail contains links allow direct login shine account urgent hiring multiple roles vertex corporate services india pvt ltd,Job
"Jobs are based on your preferences, profile and activity on Indeed. IBM, JPMorgan Chase & Co and EY are interested in hiring you.",jobs based preferences profile activity indeed ibm jpmorgan chase co ey interested hiring,Job
You are receiving monthly job alerts because your job search status is currently set to *Actively Looking*.Click here to receive notifications faster through WhatsApp.,receiving monthly job alerts job search status currently set actively lookingclick receive notifications faster whatsapp,Job
"Do Not forward this mail, it contains links which allow direct login to your Shine account. Please add alert@shine.com to your Address Book or Safe List to prevent it from being classified as Junk/Bulk Mail.",forward mail contains links allow direct login shine account please add alertshinecom address book safe list prevent classified junkbulk mail,Job
"Tap to read. Forwarded message: A special Women’s Day message! The message was sent on Mar 8, 2024 at 12:05 PM.",tap read forwarded message special women ’ day message message sent mar 8 2024 1205 pm,Food
"This mail has a special message for International Women’s Day and for the delivery partners who run our world. Open the mail and read it, the message is waiting for you.",mail special message international women ’ day delivery partners run world open mail read message waiting,Food
"Urgent Hiring for Asst Manager/ Manager-Process Engineering at Vertex Corporate Services India Pvt. Ltd. Do Not forward this mail, it contains links which allow direct login to your Shine account.",urgent hiring asst manager managerprocess engineering vertex corporate services india pvt ltd forward mail contains links allow direct login shine account,Job
"Your Amazon.in order #403-7552192-7158707 of 1 item was sent on Mar 15, 2024 at 6:43 AM. The email was sent to: <saikumarbavisetti@gmail.com.",amazonin order 40375521927158707 1 item sent mar 15 2024 643 email sent saikumarbavisettigmailcom,Ecom
"Your Amazon.in order #403-7552192-7158707 of 1 item has been dispatched. The message was sent on March 16, 2024.",amazonin order 40375521927158707 1 item dispatched message sent march 16 2024,Ecom
"See opportunities at Wells Fargo, Bank of America and JPMorgan Chase & Co. Your primary responsibility is to gather, document, and analyze business solutions.",see opportunities wells fargo bank america jpmorgan chase co primary responsibility gather document analyze business solutions,Job
You are receiving this email because you joined the ZF Group TalentCommunity on 2/3/23. You will receive these messages every 7 day(s) Your Job Alert matched the following jobs at jobs.zf.com.,receiving email joined zf group talentcommunity 2323 receive messages every 7 days job alert matched following jobs jobszfcom,Job
"Jobs similar to MLOps Senior Data Scientist at GE Digital at 12:15am on March 16, 2024.",jobs similar mlops senior data scientist ge digital 1215am march 16 2024,Job
"See opportunities at HP, Medtronic and Capgemini Engineering. ‘Jobs are based on your preferences, profile and activity on Indeed.’ ‘You will work as a member of the Product Connectivity Solutions team, you will work across organizational boundaries to enhance platforms that allow the us to support global…’",see opportunities hp medtronic capgemini engineering ‘ jobs based preferences profile activity indeed ’ ‘ work member product connectivity solutions team work across organizational boundaries enhance platforms allow us support global… ’,Job
"The following jobs matched your search agent at Eastman and can be found at: http://jobs.eastman.com. Chemical Engineer - Entry - Hyderabad, IN, 500 008. Experienced Data Scientist - Experienced, Hyderabad IN.",following jobs matched search agent eastman found httpjobseastmancom chemical engineer entry hyderabad 500 008 experienced data scientist experienced hyderabad,Job
Develop software to help people change lives. 4 new jobs for “data analyst’s”,develop software help people change lives 4 new jobs “ data analyst ’ ”,Job
"Do Not forward this mail, it contains links which allow direct login to your Shine account. Urgent Hiring for Multiple Roles at Vertex Corporate Services India Pvt. Ltd.",forward mail contains links allow direct login shine account urgent hiring multiple roles vertex corporate services india pvt ltd,Job
EPAM Systems (Bangalore/Gurgaon/Hyderabad) has just posted a *Senior Software Engineer - GenAi* job. You look like a good fit for the position based on your Instahyre profile. Click to view details and apply.,epam systems bangaloregurgaonhyderabad posted senior software engineer genai job look like good fit position based instahyre profile click view details apply,Job
"See opportunities at Mott MacDonald and Weir Group. Job opportunities are based on your preferences, profile and activity on Indeed.",see opportunities mott macdonald weir group job opportunities based preferences profile activity indeed,Job
"Your job feed for 16 March 2024 is based on your preferences, profile and activity on Indeed. See opportunities at IBM, Microsoft and TaskUs.",job feed 16 march 2024 based preferences profile activity indeed see opportunities ibm microsoft taskus,Job
"Do Not forward this mail, it contains links which allow direct login to your Shine account. Be sure to *update the latest details* below to apply for the job. Your profile seems to be a good match.",forward mail contains links allow direct login shine account sure update latest details apply job profile seems good match,Job
"Your job alert for data analyst is for a data analyst. The salary is expected to be around $50,000 per year.",job alert data analyst data analyst salary expected around 50000 per year,Job
Data Scientist with Machine Learning - Night Shift (Remote) 4.1. Software Developer 4.2. Software Engineer 3.0. Software Designer 2.5. Web Developer 3.3.,data scientist machine learning night shift remote 41 software developer 42 software engineer 30 software designer 25 web developer 33,Job
Shanvi Global Recruitment Services is looking for a Data Scientist in Chennai. The ideal candidate is an Engineer with experience in Machine Learning. The salary is between 20.00 - 40.00 Lacs per year.,shanvi global recruitment services looking data scientist chennai ideal candidate engineer experience machine learning salary 2000 4000 lacs per year,Job
Recruiter from *Talent Leads Hr Solutions Pvt Ltd* is actively hiring for multiple roles. Experience required: *4-9 yrs*Annual CTC: *8-20 LPA.,recruiter talent leads hr solutions pvt ltd actively hiring multiple roles experience required 49 yrsannual ctc 820 lpa,Job
We are excited to dive into the differences between Data Engineering and Data Science with you in our upcoming Free Scaler Masterclass on *Roadmap.,excited dive differences data engineering data science upcoming free scaler masterclass roadmap,Job
